All Iterations
Op ID,Op Name,Direction,Op Type,No. Calls,TC Eligible,Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns),Data Type,Stack Trace
"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",1,yes,no,2306368,2306368.0,2306368,2306368,309276,309276.0,309276,309276,765282,765282.0,765282,765282,1674141,1674141.0,1674141,1674141,float32,"dummy_network.py:42
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:1102
dummy_network.py:25
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:1102
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/conv.py:446
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/conv.py:443"
"CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",1,yes,no,800754,800754.0,800754,800754,230559,230559.0,230559,230559,138709,138709.0,138709,138709,406847,406847.0,406847,406847,float32,"dummy_network.py:42
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:1102
dummy_network.py:26
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:1102
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/conv.py:446
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/conv.py:443"
"CUDADEVICESYNCHRONIZE_V3020_1","unassociated_cudaDeviceSynchronize_v3020",,"cudaDeviceSynchronize_v3020",1,no,no,3686,3686.0,3686,3686,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,""
"CUDADEVICESYNCHRONIZE_V3020_2","unassociated_cudaDeviceSynchronize_v3020",,"cudaDeviceSynchronize_v3020",1,no,no,3323,3323.0,3323,3323,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,""
"CUDA_1","/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/cuda",fprop,"cuda",1,no,no,2239773963,2239773963.0,2239773963,2239773963,960,960.0,960,960,125573941,125573941.0,125573941,125573941,0,0.0,0,0,float32,"dummy_network.py:34
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:570
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:593
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680"
"CUDA_10","/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/cuda",fprop,"cuda",1,no,no,23848,23848.0,23848,23848,640,640.0,640,640,14659,14659.0,14659,14659,0,0.0,0,0,float32,"dummy_network.py:34
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:570
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:593
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680"
"CUDA_11","/module/cuda",fprop,"cuda",1,no,no,72390,72390.0,72390,72390,31648,31648.0,31648,31648,17426,17426.0,17426,17426,0,0.0,0,0,float32,"dummy_network.py:35"
"CUDA_2","/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/cuda",fprop,"cuda",1,no,no,42459,42459.0,42459,42459,672,672.0,672,672,30428,30428.0,30428,30428,0,0.0,0,0,float32,"dummy_network.py:34
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:570
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:593
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680"
"CUDA_3","/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/cuda",fprop,"cuda",1,no,no,28138,28138.0,28138,28138,1056,1056.0,1056,1056,17341,17341.0,17341,17341,0,0.0,0,0,float32,"dummy_network.py:34
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:570
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:593
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680"
"CUDA_4","/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/cuda",fprop,"cuda",1,no,no,24400,24400.0,24400,24400,672,672.0,672,672,15103,15103.0,15103,15103,0,0.0,0,0,float32,"dummy_network.py:34
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:570
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:593
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680"
