All Iterations
Op ID,Op Name,Direction,Op Type,No. Calls,TC Eligible,Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns),Data Type,Stack Trace
"CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",1,yes,no,2025930,2025930.0,2025930,2025930,130846,130846.0,130846,130846,731744,731744.0,731744,731744,1573021,1573021.0,1573021,1573021,float32,"dummy_network.py:42
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:1102
dummy_network.py:25
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:1102
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/conv.py:446
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/conv.py:443"
"CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,"conv2d",1,yes,no,567072,567072.0,567072,567072,159681,159681.0,159681,159681,137821,137821.0,137821,137821,326654,326654.0,326654,326654,float32,"dummy_network.py:42
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:1102
dummy_network.py:26
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:1102
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/conv.py:446
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/conv.py:443"
"CUDADEVICESYNCHRONIZE_V3020_1","unassociated_cudaDeviceSynchronize_v3020",,"cudaDeviceSynchronize_v3020",1,no,no,3617,3617.0,3617,3617,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,""
"CUDADEVICESYNCHRONIZE_V3020_2","unassociated_cudaDeviceSynchronize_v3020",,"cudaDeviceSynchronize_v3020",1,no,no,3178,3178.0,3178,3178,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,,""
"CUDA_1","/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/cuda",fprop,"cuda",1,no,no,2253749426,2253749426.0,2253749426,2253749426,960,960.0,960,960,123684781,123684781.0,123684781,123684781,0,0.0,0,0,float32,"dummy_network.py:34
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:570
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:593
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680"
"CUDA_10","/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/cuda",fprop,"cuda",1,no,no,23171,23171.0,23171,23171,640,640.0,640,640,13992,13992.0,13992,13992,0,0.0,0,0,float32,"dummy_network.py:34
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:570
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:593
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680"
"CUDA_11","/module/cuda",fprop,"cuda",1,no,no,27949,27949.0,27949,27949,1184,1184.0,1184,1184,16824,16824.0,16824,16824,0,0.0,0,0,float32,"dummy_network.py:35"
"CUDA_2","/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/cuda",fprop,"cuda",1,no,no,41039,41039.0,41039,41039,672,672.0,672,672,29414,29414.0,29414,29414,0,0.0,0,0,float32,"dummy_network.py:34
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:570
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:593
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680"
"CUDA_3","/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/cuda",fprop,"cuda",1,no,no,28107,28107.0,28107,28107,1056,1056.0,1056,1056,17432,17432.0,17432,17432,0,0.0,0,0,float32,"dummy_network.py:34
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:570
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:593
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680"
"CUDA_4","/module/dummy_network::cuda/dummy_network::_apply/Conv2d::_apply/lambda/cuda",fprop,"cuda",1,no,no,24068,24068.0,24068,24068,672,672.0,672,672,14923,14923.0,14923,14923,0,0.0,0,0,float32,"dummy_network.py:34
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:570
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:593
/home/mohanadodema/.local/lib/python3.6/site-packages/torch/nn/modules/module.py:680"
