Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/",30,5,0,2258871410,2258871410.0,2258871410,2258871410,339839,339839.0,339839,339839,126772072,126772072.0,126772072,126772072,2242874,2242874.0,2242874,2242874
"/module/",30,5,0,2258871410,2258871410.0,2258871410,2258871410,339839,339839.0,339839,339839,126772072,126772072.0,126772072,126772072,2242874,2242874.0,2242874,2242874
"/module/dummy_network::__init__/",10,0,0,675726,675726.0,675726,675726,0,0.0,0,0,675726,675726.0,675726,675726,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__/",2,0,0,361253,361253.0,361253,361253,0,0.0,0,0,361253,361253.0,361253,361253,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__/Conv2d::reset_parameters/",2,0,0,361253,361253.0,361253,361253,0,0.0,0,0,361253,361253.0,361253,361253,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__/Conv2d::reset_parameters/kaiming_uniform_/",1,0,0,353875,353875.0,353875,353875,0,0.0,0,0,353875,353875.0,353875,353875,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__/Conv2d::reset_parameters/uniform_/",1,0,0,7378,7378.0,7378,7378,0,0.0,0,0,7378,7378.0,7378,7378,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__/Conv2d::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,7378,7378.0,7378,7378,0,0.0,0,0,7378,7378.0,7378,7378,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/",2,0,0,19656,19656.0,19656,19656,0,0.0,0,0,19656,19656.0,19656,19656,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/Conv2d::__init__/",2,0,0,19656,19656.0,19656,19656,0,0.0,0,0,19656,19656.0,19656,19656,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/Conv2d::__init__/Conv2d::reset_parameters/",2,0,0,19656,19656.0,19656,19656,0,0.0,0,0,19656,19656.0,19656,19656,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/Conv2d::__init__/Conv2d::reset_parameters/kaiming_uniform_/",1,0,0,14935,14935.0,14935,14935,0,0.0,0,0,14935,14935.0,14935,14935,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/Conv2d::__init__/Conv2d::reset_parameters/uniform_/",1,0,0,4721,4721.0,4721,4721,0,0.0,0,0,4721,4721.0,4721,4721,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/Conv2d::__init__/Conv2d::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,4721,4721.0,4721,4721,0,0.0,0,0,4721,4721.0,4721,4721,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[3]/",2,0,0,228821,228821.0,228821,228821,0,0.0,0,0,228821,228821.0,228821,228821,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[3]/Linear::reset_parameters/",2,0,0,228821,228821.0,228821,228821,0,0.0,0,0,228821,228821.0,228821,228821,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[3]/Linear::reset_parameters/kaiming_uniform_/",1,0,0,223575,223575.0,223575,223575,0,0.0,0,0,223575,223575.0,223575,223575,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[3]/Linear::reset_parameters/uniform_/",1,0,0,5246,5246.0,5246,5246,0,0.0,0,0,5246,5246.0,5246,5246,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[3]/Linear::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,5246,5246.0,5246,5246,0,0.0,0,0,5246,5246.0,5246,5246,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[4]/",2,0,0,53524,53524.0,53524,53524,0,0.0,0,0,53524,53524.0,53524,53524,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[4]/Linear::reset_parameters/",2,0,0,53524,53524.0,53524,53524,0,0.0,0,0,53524,53524.0,53524,53524,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[4]/Linear::reset_parameters/kaiming_uniform_/",1,0,0,48438,48438.0,48438,48438,0,0.0,0,0,48438,48438.0,48438,48438,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[4]/Linear::reset_parameters/uniform_/",1,0,0,5086,5086.0,5086,5086,0,0.0,0,0,5086,5086.0,5086,5086,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[4]/Linear::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,5086,5086.0,5086,5086,0,0.0,0,0,5086,5086.0,5086,5086,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[5]/",2,0,0,12472,12472.0,12472,12472,0,0.0,0,0,12472,12472.0,12472,12472,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[5]/Linear::reset_parameters/",2,0,0,12472,12472.0,12472,12472,0,0.0,0,0,12472,12472.0,12472,12472,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[5]/Linear::reset_parameters/kaiming_uniform_/",1,0,0,7848,7848.0,7848,7848,0,0.0,0,0,7848,7848.0,7848,7848,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[5]/Linear::reset_parameters/uniform_/",1,0,0,4624,4624.0,4624,4624,0,0.0,0,0,4624,4624.0,4624,4624,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[5]/Linear::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,4624,4624.0,4624,4624,0,0.0,0,0,4624,4624.0,4624,4624,0,0.0,0,0
