Kernel Report
Kernel Name,Op ID,Op Name,Direction,Uses TC,Total GPU Time (ns),Avg GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total API Time (ns),Avg API Time (ns),Min API Time (ns),Max API Time (ns)
"computeOffsetsKernel","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,2176,2176.0,2176,2176,5811,5811.0,5811,5811
"compute_gemm_pointers","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,2144,2144.0,2144,2144,3457,3457.0,3457,3457
"explicit_convolve_sgemm","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,5280,5280.0,5280,5280,8904,8904.0,8904,8904
"fft2d_c2r_32x32","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,12128,6064.0,5856,6272,6560,3280.0,2968,3592
"fft2d_r2c_32x32","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,29632,7408.0,4352,10656,16787,4196.8,2974,4985
"flip_filter","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,2048,2048.0,2048,2048,4690,4690.0,4690,4690
"gemmSN_NN_kernel","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,9215,9215.0,9215,9215,4336,4336.0,4336,4336
"gemv2N_kernel","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,5632,5632.0,5632,5632,3441,3441.0,3441,3441
"gemv2T_kernel_val","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,5312,5312.0,5312,5312,3902,3902.0,3902,3902
"generateWinogradTilesKernel","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,2304,2304.0,2304,2304,5890,5890.0,5890,5890
"im2col4d_kernel","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,6304,6304.0,6304,6304,4768,4768.0,4768,4768
"implicit_convolve_sgemm","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,16096,5365.3,5088,5696,35006,11668.7,6932,21059
"unrolled_elementwise_kernel","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,3200,3200.0,3200,3200,6739,6739.0,6739,6739
"volta_scudnn_128x32_relu_interior_nn_v1","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,10144,10144.0,10144,10144,4588,4588.0,4588,4588
"volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,7423,7423.0,7423,7423,3549,3549.0,3549,3549
"winogradForwardData4x4","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,4032,4032.0,4032,4032,4713,4713.0,4713,4713
"winogradForwardFilter4x4","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,2560,2560.0,2560,2560,3113,3113.0,3113,3113
"winogradForwardOutput4x4","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,3968,3968.0,3968,3968,2911,2911.0,2911,2911
"max_pool_forward_nchw","MAX_POOL2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/max_pool2d",fprop,no,2624,2624.0,2624,2624,9374,9374.0,9374,9374
"computeOffsetsKernel","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,1952,1952.0,1952,1952,4709,4709.0,4709,4709
"compute_gemm_pointers","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,1888,1888.0,1888,1888,3419,3419.0,3419,3419
"explicit_convolve_sgemm","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,9024,9024.0,9024,9024,9137,9137.0,9137,9137
"fft2d_c2r_16x16","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,5856,5856.0,5856,5856,3511,3511.0,3511,3511
"fft2d_c2r_32x32","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,9601,9601.0,9601,9601,3848,3848.0,3848,3848
"fft2d_r2c_16x16","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,6880,3440.0,3200,3680,6931,3465.5,2971,3960
"fft2d_r2c_32x32","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,14176,7088.0,5472,8704,7917,3958.5,2936,4981
"flip_filter","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,1984,1984.0,1984,1984,3887,3887.0,3887,3887
"gemmSN_NN_kernel","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,10560,10560.0,10560,10560,3830,3830.0,3830,3830
"gemv2N_kernel","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,5504,5504.0,5504,5504,3164,3164.0,3164,3164
"gemv2T_kernel_val","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,3936,3936.0,3936,3936,3027,3027.0,3027,3027
"im2col4d_kernel","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,17984,17984.0,17984,17984,3985,3985.0,3985,3985
"implicit_convolve_sgemm","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,32544,10848.0,10688,11008,26639,8879.7,6360,12316
"unrolled_elementwise_kernel","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,3264,3264.0,3264,3264,5479,5479.0,5479,5479
"volta_scudnn_128x64_relu_interior_nn_v1","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,20832,20832.0,20832,20832,4124,4124.0,4124,4124
"winogradForwardData9x9_5x5","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,7265,7265.0,7265,7265,4680,4680.0,4680,4680
"winogradForwardFilter9x9_5x5","CONV2D_2","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl[2]/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,3360,3360.0,3360,3360,3131,3131.0,3131,3131
