Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/",34,5,0,2246647898,2246647898.0,2246647898,2246647898,644990,644990.0,644990,644990,129852872,129852872.0,129852872,129852872,2442011,2442011.0,2442011,2442011
"/module/",34,5,0,2246647898,2246647898.0,2246647898,2246647898,644990,644990.0,644990,644990,129852872,129852872.0,129852872,129852872,2442011,2442011.0,2442011,2442011
"/module/dummy_network::__init__/",10,0,0,617327,617327.0,617327,617327,0,0.0,0,0,617327,617327.0,617327,617327,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__/",2,0,0,316102,316102.0,316102,316102,0,0.0,0,0,316102,316102.0,316102,316102,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__/Conv2d::reset_parameters/",2,0,0,316102,316102.0,316102,316102,0,0.0,0,0,316102,316102.0,316102,316102,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__/Conv2d::reset_parameters/kaiming_uniform_/",1,0,0,309503,309503.0,309503,309503,0,0.0,0,0,309503,309503.0,309503,309503,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__/Conv2d::reset_parameters/uniform_/",1,0,0,6599,6599.0,6599,6599,0,0.0,0,0,6599,6599.0,6599,6599,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__/Conv2d::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,6599,6599.0,6599,6599,0,0.0,0,0,6599,6599.0,6599,6599,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/",2,0,0,19424,19424.0,19424,19424,0,0.0,0,0,19424,19424.0,19424,19424,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/Conv2d::__init__/",2,0,0,19424,19424.0,19424,19424,0,0.0,0,0,19424,19424.0,19424,19424,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/Conv2d::__init__/Conv2d::reset_parameters/",2,0,0,19424,19424.0,19424,19424,0,0.0,0,0,19424,19424.0,19424,19424,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/Conv2d::__init__/Conv2d::reset_parameters/kaiming_uniform_/",1,0,0,14795,14795.0,14795,14795,0,0.0,0,0,14795,14795.0,14795,14795,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/Conv2d::__init__/Conv2d::reset_parameters/uniform_/",1,0,0,4629,4629.0,4629,4629,0,0.0,0,0,4629,4629.0,4629,4629,0,0.0,0,0
"/module/dummy_network::__init__/Conv2d::__init__[2]/Conv2d::__init__/Conv2d::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,4629,4629.0,4629,4629,0,0.0,0,0,4629,4629.0,4629,4629,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[3]/",2,0,0,216528,216528.0,216528,216528,0,0.0,0,0,216528,216528.0,216528,216528,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[3]/Linear::reset_parameters/",2,0,0,216528,216528.0,216528,216528,0,0.0,0,0,216528,216528.0,216528,216528,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[3]/Linear::reset_parameters/kaiming_uniform_/",1,0,0,211260,211260.0,211260,211260,0,0.0,0,0,211260,211260.0,211260,211260,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[3]/Linear::reset_parameters/uniform_/",1,0,0,5268,5268.0,5268,5268,0,0.0,0,0,5268,5268.0,5268,5268,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[3]/Linear::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,5268,5268.0,5268,5268,0,0.0,0,0,5268,5268.0,5268,5268,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[4]/",2,0,0,52872,52872.0,52872,52872,0,0.0,0,0,52872,52872.0,52872,52872,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[4]/Linear::reset_parameters/",2,0,0,52872,52872.0,52872,52872,0,0.0,0,0,52872,52872.0,52872,52872,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[4]/Linear::reset_parameters/kaiming_uniform_/",1,0,0,47593,47593.0,47593,47593,0,0.0,0,0,47593,47593.0,47593,47593,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[4]/Linear::reset_parameters/uniform_/",1,0,0,5279,5279.0,5279,5279,0,0.0,0,0,5279,5279.0,5279,5279,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[4]/Linear::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,5279,5279.0,5279,5279,0,0.0,0,0,5279,5279.0,5279,5279,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[5]/",2,0,0,12401,12401.0,12401,12401,0,0.0,0,0,12401,12401.0,12401,12401,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[5]/Linear::reset_parameters/",2,0,0,12401,12401.0,12401,12401,0,0.0,0,0,12401,12401.0,12401,12401,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[5]/Linear::reset_parameters/kaiming_uniform_/",1,0,0,7808,7808.0,7808,7808,0,0.0,0,0,7808,7808.0,7808,7808,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[5]/Linear::reset_parameters/uniform_/",1,0,0,4593,4593.0,4593,4593,0,0.0,0,0,4593,4593.0,4593,4593,0,0.0,0,0
"/module/dummy_network::__init__/Linear::__init__[5]/Linear::reset_parameters/uniform_/_no_grad_uniform_/",1,0,0,4593,4593.0,4593,4593,0,0.0,0,0,4593,4593.0,4593,4593,0,0.0,0,0
"/module/dummy_network::_call_impl/",12,5,0,5389389,5389389.0,5389389,5389389,589052,589052.0,589052,589052,2979656,2979656.0,2979656,2979656,2442011,2442011.0,2442011,2442011
"/module/dummy_network::_call_impl/dummy_network::forward/",12,5,0,5389389,5389389.0,5389389,5389389,589052,589052.0,589052,589052,2979656,2979656.0,2979656,2979656,2442011,2442011.0,2442011,2442011
