Kernel Report
Kernel Name,Op ID,Op Name,Direction,Uses TC,Total GPU Time (ns),Avg GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total API Time (ns),Avg API Time (ns),Min API Time (ns),Max API Time (ns)
"computeOffsetsKernel","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,2208,2208.0,2208,2208,9193,9193.0,9193,9193
"compute_gemm_pointers","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,2176,2176.0,2176,2176,3873,3873.0,3873,3873
"explicit_convolve_sgemm","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,20064,20064.0,20064,20064,10489,10489.0,10489,10489
"fft2d_c2r_32x32","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,21151,10575.5,10495,10656,6549,3274.5,2960,3589
"fft2d_r2c_32x32","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,40926,10231.5,9599,10848,22024,5506.0,3866,8324
"flip_filter","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,2272,2272.0,2272,2272,9455,9455.0,9455,9455
"gemmSN_NN_kernel","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,15712,15712.0,15712,15712,4179,4179.0,4179,4179
"generateWinogradTilesKernel","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,2560,2560.0,2560,2560,5911,5911.0,5911,5911
"im2col4d_kernel","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,10783,10783.0,10783,10783,8459,8459.0,8459,8459
"implicit_convolve_sgemm","CONV2D_1","/module/dummy_network::_call_impl/dummy_network::forward/Conv2d::_call_impl/Conv2d::forward/Conv2d::_conv_forward/conv2d",fprop,no,65439,21813.0,21504,21984,32059,10686.3,6868,17748
